elbow_angle,shoulder_angle,hip_angle,frame_time,label
158,18,175,0,correct
145,17,176,1,correct
130,19,174,2,correct
112,20,176,3,correct
95,21,175,4,correct
75,22,174,5,correct
58,20,176,6,correct
42,19,175,7,correct
35,18,174,8,correct
48,17,175,9,correct
65,18,176,10,correct
85,19,175,11,correct
105,20,176,12,correct
125,18,175,13,correct
145,17,174,14,correct
155,16,173,0,correct
140,17,174,1,correct
125,18,175,2,correct
110,19,176,3,correct
92,20,175,4,correct
70,21,174,5,correct
55,19,175,6,correct
40,18,176,7,correct
32,17,175,8,correct
45,18,174,9,correct
63,19,175,10,correct
83,20,176,11,correct
103,21,175,12,correct
123,18,174,13,correct
142,17,175,14,correct
120,22,176,0,incorrect_half_rep
110,21,175,1,incorrect_half_rep
100,20,174,2,incorrect_half_rep
90,19,175,3,incorrect_half_rep
80,18,176,4,incorrect_half_rep
70,19,175,5,incorrect_half_rep
62,20,174,6,incorrect_half_rep
65,21,175,7,incorrect_half_rep
75,20,176,8,incorrect_half_rep
85,19,175,9,incorrect_half_rep
95,18,174,10,incorrect_half_rep
105,19,175,11,incorrect_half_rep
115,20,176,12,incorrect_half_rep
118,23,174,0,incorrect_half_rep
108,22,175,1,incorrect_half_rep
98,21,176,2,incorrect_half_rep
88,20,175,3,incorrect_half_rep
78,19,174,4,incorrect_half_rep
68,18,175,5,incorrect_half_rep
60,19,176,6,incorrect_half_rep
63,20,175,7,incorrect_half_rep
73,21,174,8,incorrect_half_rep
83,20,175,9,incorrect_half_rep
93,19,176,10,incorrect_half_rep
103,18,175,11,incorrect_half_rep
113,19,174,12,incorrect_half_rep
160,18,175,0,incorrect_fast
120,19,174,1,incorrect_fast
80,20,176,2,incorrect_fast
40,21,175,3,incorrect_fast
35,20,174,4,incorrect_fast
90,19,175,5,incorrect_fast
140,18,176,6,incorrect_fast
155,17,175,7,incorrect_fast
158,17,176,0,incorrect_fast
115,18,175,1,incorrect_fast
75,19,174,2,incorrect_fast
38,20,175,3,incorrect_fast
42,21,176,4,incorrect_fast
100,20,175,5,incorrect_fast
145,19,174,6,incorrect_fast
160,18,175,7,incorrect_fast
155,30,175,0,incorrect_posture
140,35,174,1,incorrect_posture
125,40,176,2,incorrect_posture
110,45,175,3,incorrect_posture
90,50,174,4,incorrect_posture
70,45,175,5,incorrect_posture
55,40,176,6,incorrect_posture
42,35,175,7,incorrect_posture
35,30,174,8,incorrect_posture
50,32,175,9,incorrect_posture
70,36,176,10,incorrect_posture
90,42,175,11,incorrect_posture
115,38,174,12,incorrect_posture
135,34,175,13,incorrect_posture
150,30,176,14,incorrect_posture
150,28,174,0,incorrect_posture
135,33,175,1,incorrect_posture
120,38,176,2,incorrect_posture
105,44,175,3,incorrect_posture
88,48,174,4,incorrect_posture
68,44,175,5,incorrect_posture
52,39,176,6,incorrect_posture
40,34,175,7,incorrect_posture
33,29,174,8,incorrect_posture
48,31,175,9,incorrect_posture
68,35,176,10,incorrect_posture
88,41,175,11,incorrect_posture
108,37,174,12,incorrect_posture
130,33,175,13,incorrect_posture
148,29,176,14,incorrect_posture
