elbow_angle,shoulder_angle,hip_angle,frame_time,label
170,20,175,0,correct
168,30,176,1,correct
167,45,174,2,correct
165,60,175,3,correct
166,75,176,4,correct
167,88,174,5,correct
168,90,175,6,correct
166,80,176,7,correct
165,65,174,8,correct
167,50,175,9,correct
168,35,176,10,correct
169,25,174,11,correct
172,22,176,0,correct
170,32,175,1,correct
168,48,174,2,correct
166,62,176,3,correct
167,78,175,4,correct
169,88,174,5,correct
170,92,176,6,correct
168,82,175,7,correct
167,66,174,8,correct
169,52,176,9,correct
170,36,175,10,correct
171,26,174,11,correct
170,25,175,0,incorrect_half_rep
168,35,176,1,incorrect_half_rep
167,45,174,2,incorrect_half_rep
165,55,175,3,incorrect_half_rep
166,60,176,4,incorrect_half_rep
167,58,174,5,incorrect_half_rep
168,52,175,6,incorrect_half_rep
166,45,176,7,incorrect_half_rep
165,38,174,8,incorrect_half_rep
167,30,175,9,incorrect_half_rep
172,28,176,0,incorrect_half_rep
170,38,175,1,incorrect_half_rep
168,48,174,2,incorrect_half_rep
166,58,176,3,incorrect_half_rep
167,62,175,4,incorrect_half_rep
169,60,174,5,incorrect_half_rep
170,54,176,6,incorrect_half_rep
168,46,175,7,incorrect_half_rep
167,38,174,8,incorrect_half_rep
169,30,176,9,incorrect_half_rep
170,20,175,0,incorrect_fast
170,60,176,1,incorrect_fast
170,90,174,2,incorrect_fast
170,85,175,3,incorrect_fast
170,40,176,4,incorrect_fast
170,25,174,5,incorrect_fast
172,22,176,0,incorrect_fast
172,65,175,1,incorrect_fast
172,92,174,2,incorrect_fast
172,88,176,3,incorrect_fast
172,42,175,4,incorrect_fast
172,28,174,5,incorrect_fast
170,20,175,0,incorrect_posture
168,30,170,1,incorrect_posture
165,45,165,2,incorrect_posture
162,60,160,3,incorrect_posture
160,75,158,4,incorrect_posture
158,90,155,5,incorrect_posture
160,85,158,6,incorrect_posture
162,70,160,7,incorrect_posture
165,55,165,8,incorrect_posture
168,40,170,9,incorrect_posture
172,22,176,0,incorrect_posture
170,32,172,1,incorrect_posture
168,48,168,2,incorrect_posture
165,62,162,3,incorrect_posture
163,78,158,4,incorrect_posture
160,92,155,5,incorrect_posture
162,88,158,6,incorrect_posture
165,72,162,7,incorrect_posture
168,56,168,8,incorrect_posture
170,40,172,9,incorrect_posture
